שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
"דוב""ב",1067,347,205,0,205,3,6,0,0,0,0,0,0,0,0,22,0,28,89,1,0,0,0,0,0,0,6,5,0,0,0,0,1,4,0,0,0,0,40
דולב,3747,696,586,1,585,4,5,0,0,0,0,0,0,0,0,455,0,0,41,1,0,0,57,0,0,0,3,2,0,0,0,0,3,1,0,0,8,0,5
דור,738,267,196,1,195,36,0,0,0,0,0,1,4,0,0,10,0,15,37,8,0,0,1,0,0,0,52,1,0,0,0,0,4,23,0,0,1,2,0
דורות,336,500,365,4,361,149,0,0,0,0,0,5,7,0,0,3,0,56,7,50,0,0,2,0,0,0,47,0,0,0,0,0,5,24,1,0,4,0,1
דחי,475,388,151,0,151,23,0,66,0,0,0,6,0,0,0,1,0,0,1,17,0,0,0,0,22,0,0,0,0,0,0,0,0,2,0,2,1,0,10
דייר אל-אסד,490,6674,4873,75,4798,171,1,704,0,1,4,989,0,0,2,4,1,825,139,21,1,0,3,1,1690,0,3,2,0,0,1,1,3,31,0,11,20,1,168
דייר חנא,492,6048,5001,15,4986,36,12,952,0,1,2,1702,1,0,1,4,2,164,98,42,0,2,1,0,1659,1,17,0,1,0,1,1,4,165,4,37,4,0,72
דימונה,2200,26763,14190,309,13881,771,50,2,1,29,3,5,42,0,28,1931,201,207,4411,71,13,7,232,6,29,50,1921,120,11,0,17,21,281,474,14,11,140,23,2759
דישון,2063,308,198,2,196,13,1,0,0,0,0,0,1,0,0,23,0,7,92,4,0,0,2,0,0,0,17,0,0,0,0,0,5,6,0,0,2,0,23
דליה,300,670,492,4,488,134,0,0,0,0,0,3,16,0,0,3,0,8,9,210,0,0,1,0,0,0,63,1,0,0,1,0,2,32,0,0,1,3,1
דלתון,431,557,345,6,339,0,2,1,0,0,0,0,0,0,1,84,0,3,148,0,0,0,11,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,84
דמיידה,1317,254,132,6,126,1,0,80,0,0,0,4,0,0,0,1,0,2,0,0,0,0,0,0,34,0,0,0,0,0,0,0,1,1,0,2,0,0,0
דן,303,460,337,4,333,105,0,0,0,0,0,2,7,0,0,3,0,1,9,117,0,1,6,0,0,0,53,0,0,0,0,0,2,20,1,0,6,0,0
דפנה,302,550,436,0,436,202,0,0,0,0,0,2,9,0,1,10,0,5,29,49,0,0,0,0,0,1,88,1,0,0,0,1,1,28,0,0,8,0,1
דקל,1241,260,168,0,168,33,0,0,0,0,0,0,7,0,1,23,1,8,33,2,0,0,0,0,0,0,35,0,0,0,0,0,0,16,0,0,4,2,3
דריג'את,1349,343,211,3,208,44,0,71,0,0,1,6,0,0,1,2,0,0,2,2,1,0,0,1,57,0,3,0,0,0,1,0,2,2,0,3,0,0,9
האון,702,167,106,1,105,47,1,0,0,0,0,0,11,0,0,4,0,0,11,5,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,0,2,1,4
הבונים,675,279,202,1,201,70,0,0,0,0,0,0,2,0,1,5,0,1,18,28,0,0,0,0,0,0,53,0,0,0,0,0,0,20,0,0,3,0,0
הגושרים,356,544,392,3,389,152,0,0,0,0,0,0,27,0,2,11,0,4,35,33,0,1,2,0,0,0,79,1,0,0,0,0,2,35,0,0,0,2,3
הדר עם,191,426,356,1,355,75,1,1,0,0,0,0,5,0,0,9,0,9,33,58,0,1,2,0,0,0,125,0,0,0,0,0,2,31,0,0,0,1,2
הוד השרון,9700,37040,27785,164,27621,5279,84,6,0,26,1,67,339,0,41,1283,51,778,5251,2001,3,5,190,8,2,6,8097,211,5,0,9,11,301,2213,12,15,282,54,990
הודיה,726,485,278,5,273,32,3,0,0,0,0,0,3,0,0,30,0,9,115,4,0,0,6,0,0,0,22,0,0,0,0,0,2,18,2,0,1,1,25
הוואשלה (שבט),1169,1148,456,9,447,3,0,11,1,0,0,1,0,0,0,3,1,0,3,3,0,0,0,0,404,0,1,1,0,0,1,1,0,1,1,0,2,1,8
הוזייל (שבט),956,879,194,3,191,9,0,29,0,0,0,4,0,0,0,1,1,0,4,2,1,0,1,0,129,0,1,0,0,0,0,1,0,2,2,0,0,1,3
הושעיה,1186,1126,924,0,924,42,2,0,0,0,0,1,2,0,0,522,0,2,140,9,0,0,23,0,0,0,64,2,0,0,0,0,44,54,0,1,5,0,11
הזורע,250,850,574,4,570,228,0,0,0,0,0,2,22,0,0,7,0,3,9,186,0,0,6,0,0,1,58,1,0,0,0,0,1,37,0,1,5,1,2
הזורעים,307,452,355,2,353,6,2,0,0,0,0,0,0,0,0,234,0,2,50,1,0,0,32,0,0,0,2,0,0,0,0,0,7,2,0,0,1,0,14
החותרים,434,481,373,2,371,151,0,0,0,0,0,0,20,0,1,11,0,24,12,45,0,1,1,0,0,1,70,0,0,0,0,0,5,19,0,0,8,1,1
היוגב,684,523,414,0,414,139,0,0,0,0,0,1,8,0,1,21,0,11,29,28,0,0,2,0,0,0,99,0,0,0,1,0,7,55,0,0,12,0,0
הילה,1208,422,314,2,312,118,1,0,0,0,0,3,8,0,0,12,0,2,17,51,0,0,0,0,0,0,58,0,0,0,0,0,2,16,0,0,15,8,1
המעפיל,377,566,444,1,443,113,0,0,0,0,0,1,5,0,0,5,0,6,15,179,0,0,1,0,0,1,85,0,0,0,0,0,4,22,1,1,1,1,2
הסוללים,677,591,434,1,433,133,0,0,0,1,0,3,12,0,0,11,0,8,57,42,0,0,6,1,0,0,83,0,0,0,1,0,1,61,0,0,8,1,4
העוגן,423,585,426,2,424,123,0,0,1,0,0,3,15,0,0,9,0,3,12,153,0,0,0,0,2,0,77,0,0,0,0,0,0,11,0,4,4,3,4
הר אדר,3769,2542,2015,9,2006,397,1,0,0,0,0,13,22,0,0,95,0,85,346,210,0,0,17,1,1,2,548,1,2,0,0,1,38,186,0,0,18,1,21
הר גילה,3603,577,501,2,499,64,2,0,0,0,0,1,3,0,0,62,0,10,159,22,0,0,17,0,2,0,60,4,0,0,0,0,16,34,1,0,4,3,35
הר עמשא,1261,109,81,0,81,13,0,0,0,0,0,0,9,0,0,32,1,1,2,6,0,0,5,0,0,0,4,3,0,0,0,0,0,0,0,1,1,2,1
הראל,464,185,91,0,91,23,0,0,0,0,0,3,1,0,0,2,0,2,2,31,0,0,0,0,0,0,19,0,0,0,0,0,1,6,0,0,0,1,0
הרדוף,1249,317,257,1,256,59,0,1,0,0,0,14,11,0,0,0,0,2,4,121,0,1,0,0,0,0,24,0,0,0,0,0,1,10,1,5,2,0,0
הרצליה,6400,76413,51346,388,50958,8204,334,17,2,57,6,127,603,0,92,2982,162,1274,11000,4107,3,9,540,6,9,18,13474,306,21,0,28,21,613,3951,21,28,654,126,2163
הררית,1203,236,164,1,163,42,0,2,0,0,0,2,15,0,0,7,0,0,18,36,0,0,0,0,0,0,13,0,0,0,0,0,7,16,0,1,3,1,0
ורד יריחו,3639,171,142,3,139,17,3,0,0,0,0,1,2,0,0,38,0,2,38,1,0,0,3,0,0,0,12,0,0,0,0,0,7,7,0,0,3,0,5
ורדון,1133,191,136,3,133,9,1,1,0,0,0,1,0,0,0,18,2,15,25,11,0,0,2,0,0,0,13,4,0,0,0,0,0,9,0,0,1,1,20
זבדיאל,815,381,302,5,297,8,9,0,0,0,0,0,0,0,0,38,0,1,84,1,0,0,10,0,0,0,2,55,0,0,0,0,5,2,0,0,2,0,80
זוהר,44,268,187,2,185,7,0,0,0,0,0,0,1,0,0,11,0,12,69,0,0,0,4,0,0,0,13,0,0,0,0,0,2,2,0,0,3,0,61
זיקים,584,550,356,3,353,88,0,0,0,0,0,3,3,0,0,9,0,11,29,120,0,0,3,0,0,0,49,0,0,0,0,0,1,31,0,1,5,0,0
זיתן,788,753,579,4,575,45,5,0,0,0,0,0,0,0,0,45,0,9,215,9,0,0,26,0,0,0,67,6,0,0,0,0,6,27,1,0,7,0,107
זכרון יעקב,9300,14218,10615,66,10549,1885,552,0,0,5,0,28,135,0,12,753,4,180,1843,849,1,1,100,1,1,3,2477,42,2,0,6,0,165,720,5,3,113,18,645
זכריה,799,629,469,2,467,24,1,0,0,0,0,0,1,0,0,40,0,31,224,3,0,0,10,0,0,0,40,0,0,0,2,0,4,14,0,0,6,0,67
זמר,1290,3814,2119,34,2085,159,1,617,1,0,0,113,1,0,2,4,0,1,26,58,0,0,1,0,1038,1,2,1,1,0,0,0,9,5,4,5,0,0,35
זמרת,1065,240,190,3,187,1,3,0,0,0,0,0,0,0,0,56,0,0,40,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,80
זנוח,816,348,234,2,232,7,2,0,0,0,0,0,0,0,1,30,0,2,117,0,0,0,3,0,0,0,16,1,0,0,1,0,10,1,0,0,1,1,39
זרועה,2064,219,136,2,134,3,5,0,0,0,0,0,0,0,0,21,0,1,68,1,0,0,2,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,28
זרזיר,975,4308,2100,58,2042,111,0,184,0,6,5,43,1,0,0,37,0,275,118,35,0,0,1,0,602,0,57,4,2,0,2,4,8,395,9,1,4,0,138
זרחיה,818,418,321,0,321,2,2,0,0,0,0,0,0,0,0,91,0,5,76,0,0,0,19,0,0,0,6,1,0,0,0,0,1,2,0,0,1,1,114
ח'ואלד (שבט),986,151,53,0,53,1,0,0,0,0,0,3,0,0,0,0,0,2,8,0,0,1,0,0,32,0,0,0,0,0,0,0,1,0,1,0,0,0,4
ח'ואלד,1321,232,102,3,99,2,0,2,0,0,0,5,0,0,0,0,0,0,5,2,0,0,0,0,64,0,4,0,0,0,0,0,0,6,0,0,0,0,9
חבצלת השרון,235,343,230,1,229,46,0,0,0,0,0,1,12,0,0,18,0,6,27,28,0,0,0,0,0,0,53,8,0,0,0,0,5,13,0,1,3,0,8
חבר,1110,220,145,1,144,30,0,0,0,0,0,0,2,0,0,20,2,0,32,2,0,0,5,0,0,0,24,1,0,0,0,0,3,11,0,0,2,0,10
חברון,3400,281,247,0,247,3,1,0,0,0,0,0,0,0,0,81,0,1,21,0,0,0,128,0,0,0,2,1,0,0,0,0,2,3,0,0,0,0,4
חגור,717,661,519,4,515,100,1,0,0,0,0,4,9,0,1,43,2,8,90,23,0,0,3,0,0,0,154,2,1,0,1,0,7,44,0,0,4,2,16
חגי,3764,254,214,0,214,0,0,0,0,0,0,0,0,0,0,152,0,0,18,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
חגלה,205,434,358,1,357,124,0,0,0,0,0,2,8,0,0,15,0,5,20,40,0,0,2,0,0,0,105,1,0,0,1,0,0,31,0,0,2,1,0
חד-נס,4026,520,355,0,355,52,1,0,0,0,0,1,7,0,0,57,0,15,77,11,0,0,3,0,0,0,85,0,0,0,1,0,3,31,0,0,5,4,2
חדיד,618,529,395,0,395,25,7,0,0,1,0,0,1,0,0,89,0,6,119,4,0,0,6,0,0,0,27,24,0,0,0,0,16,15,0,1,7,0,47
חדרה,6500,67742,39118,540,38578,4463,784,36,5,49,12,44,324,0,74,3229,437,947,13144,909,11,13,489,30,24,15,6145,458,18,0,57,25,544,2137,23,26,589,126,3391
חולדה,160,335,247,2,245,97,0,0,0,0,0,3,2,0,0,10,0,4,25,21,0,0,3,0,0,0,58,2,0,0,0,0,7,11,0,0,1,0,1
חולון,6600,153529,94284,1036,93248,12557,396,16,16,170,14,102,753,0,221,5817,548,2428,28756,2403,15,23,960,117,23,93,18317,526,80,0,65,46,1091,5985,50,30,977,196,10457
חולית,1239,106,66,1,65,28,0,0,0,0,0,0,4,0,0,9,0,3,7,8,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0
חולתה,253,371,273,1,272,130,3,0,0,0,0,0,10,0,0,4,1,2,9,34,0,0,5,0,0,0,35,0,0,0,0,1,1,29,0,0,7,0,1
חוסן,662,589,413,0,413,35,0,0,0,0,0,0,3,0,0,37,0,5,162,10,0,0,3,0,0,1,48,3,0,0,0,0,8,39,0,0,7,0,52
חוסנייה,1332,400,223,2,221,5,0,68,0,0,0,24,0,0,0,1,1,1,2,3,0,0,0,0,88,0,1,0,1,0,0,0,1,2,0,0,0,0,23
חופית,115,695,533,2,531,139,2,0,0,1,0,4,12,0,0,14,0,13,51,88,0,0,0,0,0,0,128,0,1,0,0,1,4,65,0,1,4,2,1
חוקוק,374,381,249,0,249,124,0,0,0,0,0,8,18,0,0,9,1,1,20,26,0,0,1,0,0,0,26,0,0,0,0,0,0,10,0,0,4,1,0
חורה,1303,5335,2021,38,1983,164,0,402,0,1,3,27,1,0,1,13,0,2,25,37,1,3,6,0,1068,4,8,3,1,0,2,5,5,162,5,2,7,1,24
חורפיש,496,3845,2091,24,2067,151,16,26,0,1,0,63,2,0,1,56,1,429,719,37,0,8,2,0,4,0,54,3,5,0,0,0,77,119,2,0,6,1,284
חורשים,355,264,171,0,171,35,0,0,0,0,0,1,2,0,0,9,0,3,5,64,0,0,2,0,0,0,30,0,0,0,0,0,0,16,0,0,0,2,2
חזון,1047,287,210,0,210,4,28,0,0,0,0,0,0,0,0,42,0,7,83,1,0,0,4,0,0,0,3,1,0,0,0,0,2,0,0,1,1,0,33
חיבת ציון,219,415,339,1,338,71,1,0,0,0,0,1,15,0,0,64,0,12,32,25,0,0,10,0,0,0,57,0,0,0,0,0,14,30,0,0,3,2,1
חיננית,3643,558,458,1,457,8,1,1,0,0,0,0,2,0,0,173,0,1,212,3,0,1,28,0,0,0,12,0,0,0,0,2,4,1,0,0,4,0,4
חיפה,4000,240749,141085,1722,139363,21196,4232,2713,23,154,37,6644,934,0,416,8912,1316,2407,36388,7230,23,56,1577,66,607,90,25294,349,62,0,54,68,1462,10006,184,128,1655,326,4754
חירות,162,839,704,0,704,245,0,0,0,0,0,4,15,0,0,14,0,13,35,95,0,0,0,0,0,0,200,0,0,0,0,0,6,69,0,1,4,3,0
חלוץ,1272,287,197,1,196,58,0,0,0,0,0,2,6,0,0,5,0,0,12,49,0,0,2,0,0,0,45,0,0,0,0,0,2,11,0,0,2,2,0
חלמיש,3573,722,574,2,572,1,5,0,0,0,0,0,0,0,0,398,0,0,71,0,0,1,60,0,0,0,4,8,1,0,0,0,4,0,0,0,7,0,12
חלץ,820,352,224,2,222,14,1,0,0,0,0,0,0,0,0,39,0,6,67,1,0,0,2,0,0,0,4,16,0,0,0,0,4,14,0,0,0,0,54
חמאם,993,941,370,6,364,24,0,22,0,0,1,46,0,0,0,1,0,15,6,7,0,0,0,0,62,1,4,1,0,0,0,0,0,25,0,1,0,0,148
חמד,801,492,422,3,419,14,23,0,0,0,0,0,2,0,0,230,0,2,40,1,0,0,21,0,0,0,34,0,0,0,0,0,23,2,0,0,1,1,25
חמדיה,343,305,219,2,217,100,0,0,0,0,0,1,8,0,0,7,0,0,28,9,0,0,2,0,1,0,45,0,1,0,0,0,3,7,0,0,2,1,2
חמרה,3609,125,80,0,80,18,0,0,0,0,0,0,0,0,1,12,0,3,20,3,0,0,4,0,0,0,8,0,0,0,1,0,2,5,0,0,3,0,0
חניאל,807,626,456,3,453,132,0,0,0,0,0,1,9,0,0,10,0,10,61,42,0,0,6,0,0,0,129,0,0,0,1,0,6,33,0,2,4,6,1
חניתה,280,648,412,3,409,194,0,0,0,0,0,2,9,0,0,9,0,2,26,71,0,0,1,0,0,0,56,0,0,0,0,0,4,27,0,1,4,1,2
חנתון,1257,357,277,0,277,73,0,0,0,0,0,3,5,0,2,16,0,5,37,24,0,0,0,0,0,0,58,1,0,0,0,0,6,46,0,0,1,0,0
חספין,4005,643,527,0,527,6,4,0,0,0,0,0,0,0,0,418,0,1,38,0,0,0,41,0,0,0,2,3,0,0,0,0,2,0,0,0,2,0,10
חפץ חיים,363,372,314,0,314,2,13,0,0,0,0,0,0,0,0,211,0,0,36,1,0,0,26,0,0,0,5,0,0,0,0,0,7,1,0,0,0,1,11
חפצי-בה,90,408,296,1,295,169,0,0,0,0,0,1,2,0,1,7,0,1,12,40,0,0,1,0,0,0,37,0,0,0,0,0,2,20,0,0,2,0,0
חצב,700,761,541,6,535,57,0,0,0,1,0,0,0,0,0,75,0,39,140,5,2,0,5,0,1,0,102,2,0,0,2,0,11,33,0,0,12,0,48
חצבה,13,461,349,4,345,54,2,0,0,0,0,0,4,0,0,34,0,23,35,39,0,0,4,0,0,0,82,0,0,0,0,0,9,57,1,0,0,1,0
חצור הגלילית,2034,6799,4471,53,4418,230,638,1,0,2,0,1,7,0,8,548,8,59,1475,16,0,0,94,0,1,1,297,43,1,0,2,7,81,100,3,1,34,4,756
חצור-אשדוד,406,597,422,4,418,106,0,0,0,0,0,5,5,0,0,3,0,0,14,206,0,0,0,0,0,0,40,0,0,0,0,0,0,33,0,1,4,0,1
חצרים,397,769,559,0,559,272,0,0,0,0,0,0,7,0,0,3,0,6,19,103,0,0,0,0,0,0,82,0,0,0,0,1,6,50,0,0,9,0,1
חרב לאת,422,474,379,2,377,89,2,0,0,1,0,0,9,0,0,33,0,13,50,34,0,0,6,0,0,0,104,1,0,0,1,0,5,20,0,0,8,0,1
חרוצים,1024,552,400,4,396,53,0,0,0,1,0,0,10,0,0,36,1,8,92,46,0,0,11,1,0,0,65,7,0,0,0,0,7,35,0,0,6,2,15
חריש,1247,578,403,4,399,15,10,0,0,0,0,3,4,0,1,80,3,4,87,29,1,1,23,0,0,1,31,6,0,0,0,12,3,7,0,0,4,3,71
חרמש,3717,170,103,2,101,10,0,0,0,0,0,0,3,0,1,17,2,4,36,1,0,0,5,1,0,0,11,0,0,0,0,0,0,2,1,1,4,2,0
חרשים,1209,177,129,1,128,51,2,0,0,0,0,8,7,0,0,1,0,1,2,42,0,0,0,0,0,1,8,0,0,0,0,0,0,4,0,0,1,0,0
חשמונאים,3770,1987,1638,8,1630,20,41,0,0,0,0,1,1,0,1,918,0,3,278,5,0,0,160,0,0,0,23,17,0,0,0,0,33,2,0,0,12,1,114
טבריה,6700,33054,17896,191,17705,986,702,2,1,13,0,15,33,0,25,1784,137,366,6264,108,6,8,293,3,9,3,1485,212,13,0,12,14,314,655,17,4,190,32,3999
טובא-זנגריה,962,3662,1211,40,1171,113,119,132,2,3,1,100,0,0,0,5,1,18,9,38,0,0,1,2,459,1,8,9,0,0,2,2,8,67,1,4,7,4,55
טורעאן,498,7641,4539,58,4481,52,3,570,1,2,0,2164,3,0,3,8,2,52,124,47,1,0,3,0,1185,0,5,2,0,0,4,2,126,38,0,6,5,1,72
טייבה (בעמק),497,962,625,20,605,169,0,113,0,0,1,7,0,0,1,1,1,2,3,52,1,0,0,0,166,0,1,0,0,0,0,1,0,4,0,1,0,0,81
טייבה,2730,23064,13950,167,13783,235,1,2057,0,7,0,3071,10,0,1,19,1,4,22,308,0,3,2,3,7799,5,14,4,1,0,2,5,8,21,4,9,11,4,152
טירה,2720,15168,8924,165,8759,119,2,1494,0,5,0,1733,0,0,3,4,2,160,31,352,1,0,5,0,4631,4,10,1,0,0,3,8,10,39,2,10,24,3,103
טירת יהודה,663,664,537,3,534,8,5,0,0,0,0,1,3,0,0,250,0,9,130,9,0,0,19,0,0,0,19,6,0,0,0,0,11,2,2,0,0,3,57
טירת כרמל,2100,15839,9734,153,9581,759,41,0,1,11,4,5,30,0,17,848,44,526,3764,76,6,7,166,7,7,5,806,103,7,0,10,5,104,412,17,3,115,19,1656
טירת צבי,268,532,420,2,418,35,2,0,0,0,0,0,0,0,0,259,0,0,45,4,0,0,8,0,0,0,35,1,0,0,0,0,16,7,0,0,4,1,1
טל שחר,462,636,492,1,491,159,0,0,0,0,0,3,3,0,0,15,0,20,70,42,0,0,3,0,0,0,96,0,0,0,0,0,9,56,0,0,5,1,9
טל-אל,1181,687,553,4,549,116,0,0,0,0,0,1,11,0,0,35,1,12,138,24,0,0,18,1,0,0,128,0,3,0,0,0,4,47,0,0,4,1,5
טללים,1177,109,82,1,81,27,0,0,0,0,0,0,0,0,0,8,0,5,10,5,0,0,0,0,0,0,12,0,0,0,0,0,0,9,0,0,5,0,0
טלמון,3788,1298,1157,4,1153,2,7,1,0,0,0,0,0,0,0,817,0,0,80,0,0,0,219,0,0,0,1,3,0,0,0,2,6,1,0,0,1,0,13
טמרה (יזרעאל),547,837,422,12,410,90,0,90,0,0,0,80,0,0,0,0,0,1,5,41,0,0,0,0,86,0,0,0,0,0,0,0,0,16,0,0,0,1,0
טמרה,8900,18512,13021,93,12928,161,18,3366,1,1,2,2892,1,0,1,6,4,206,146,79,1,1,1,2,5589,0,65,0,0,0,0,4,6,48,5,52,8,1,261
טנא,3743,434,319,3,316,23,1,0,0,0,0,0,3,0,0,98,0,11,67,6,0,0,21,0,0,0,38,2,0,0,0,0,5,25,0,0,2,1,13
טפחות,1214,224,183,0,183,2,2,0,0,0,0,0,0,0,0,87,0,1,67,0,1,0,6,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,13
יאנוח-ג'ת,1295,3748,2173,9,2164,117,10,5,0,0,0,75,0,0,0,153,0,322,923,6,0,1,0,0,14,0,22,8,0,0,0,1,0,245,0,1,3,0,258
יבול,1232,258,199,1,198,27,0,0,0,0,0,0,16,0,0,57,0,3,17,13,0,0,21,0,0,0,22,2,0,0,0,0,2,9,0,0,0,0,9
יבנאל,46,2241,1635,10,1625,94,33,0,0,2,0,4,14,0,0,137,0,26,228,26,0,0,42,0,0,0,210,32,0,0,1,0,20,45,1,0,5,0,705
יבנה,2660,26195,17783,184,17599,1852,125,4,2,11,4,3,93,0,24,1667,53,506,5280,402,4,5,246,5,2,7,2659,183,6,0,33,6,278,1002,24,4,174,41,2894
יגור,96,1276,890,4,886,446,0,0,0,1,0,2,14,0,0,17,3,15,43,88,0,1,5,0,0,0,150,0,0,0,0,0,4,81,1,1,10,4,0
יגל,798,546,391,4,387,21,1,0,1,1,0,0,0,0,0,29,0,9,142,6,0,0,6,0,0,0,45,4,0,0,0,0,3,40,0,0,7,0,72
יד בנימין,577,1632,1433,5,1428,3,45,0,0,0,0,0,2,0,0,809,0,0,77,0,1,0,186,0,0,0,11,21,0,0,0,0,13,0,0,0,3,0,257
יד חנה,758,409,332,0,332,69,1,0,0,0,0,5,2,0,1,12,4,5,81,48,0,0,6,0,0,0,67,0,0,0,0,0,1,18,0,5,5,0,2
יד מרדכי,358,644,450,1,449,104,1,0,0,0,0,3,6,0,0,10,0,12,17,180,0,0,0,1,0,0,80,0,0,0,0,0,0,27,1,0,4,1,2
יד נתן,775,356,255,1,254,60,1,0,0,0,0,0,4,0,0,18,0,12,32,12,0,0,1,0,0,0,63,0,0,0,0,0,10,30,0,0,5,0,6
"יד רמב""ם",64,749,547,5,542,34,9,0,0,0,0,1,1,0,4,85,0,4,195,5,0,0,11,0,0,0,48,1,0,0,0,0,11,22,1,0,3,1,106
יהוד-מונוסון,9400,21444,15687,131,15556,2333,82,1,1,19,2,16,153,0,27,1133,31,426,4046,637,1,4,161,5,5,3,3824,219,6,0,13,17,220,1037,15,3,193,38,885
יהל,1158,217,108,0,108,39,0,0,0,0,0,0,2,0,1,8,0,1,6,7,0,0,0,0,0,0,26,0,0,0,0,0,1,12,0,0,3,1,1
יובל,2009,382,283,0,283,58,0,0,1,0,0,0,4,0,0,34,0,16,69,9,0,0,2,0,0,0,35,0,0,0,0,0,11,23,0,0,2,0,19
יובלים,1226,924,723,0,723,313,0,1,0,0,0,2,9,0,1,16,0,4,50,92,0,0,2,0,0,0,143,0,0,0,0,0,9,76,0,1,3,1,0
יודפת,1112,427,338,4,334,104,0,0,0,0,0,6,13,0,0,6,0,2,9,91,1,0,1,0,0,0,53,0,0,0,0,0,8,31,0,3,4,1,1
יונתן,4007,266,211,0,211,7,0,0,0,0,0,0,2,0,0,142,0,0,31,1,0,0,9,0,0,0,10,0,0,0,0,1,5,1,0,0,0,0,2
יושיביה,803,235,193,0,193,5,1,0,0,0,0,0,1,0,0,37,0,3,22,0,0,0,2,0,0,0,7,3,0,0,0,0,4,0,0,0,0,0,108
יזרעאל,452,575,333,2,331,181,0,0,0,0,0,2,1,0,0,4,0,2,6,55,0,0,2,0,0,1,47,0,0,0,0,0,8,20,0,0,2,0,0
יחיעם,409,386,279,0,279,87,0,0,0,0,0,1,6,0,0,3,0,0,11,113,0,0,4,0,0,0,25,0,0,0,0,0,0,18,0,3,7,1,0
יטבתה,866,620,400,3,397,222,0,0,0,0,0,3,2,0,0,12,0,3,7,70,0,0,0,0,0,0,41,0,0,0,0,0,6,26,0,1,3,0,1
"ייט""ב",3607,152,120,0,120,0,2,0,0,1,0,0,2,0,0,43,0,0,57,0,0,1,10,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0
יכיני,811,410,320,2,318,10,1,0,0,0,0,0,5,0,0,42,0,66,127,3,0,0,5,0,0,0,6,10,0,0,0,0,0,5,0,0,0,0,38
ינוב,753,569,420,3,417,63,2,0,0,0,0,1,6,0,0,27,0,9,116,18,0,0,7,0,0,0,109,1,0,0,0,0,7,16,0,0,9,0,26
ינון,2011,721,499,5,494,46,2,1,0,0,0,0,7,0,0,68,0,4,185,1,0,0,16,0,1,1,46,33,0,0,0,2,9,20,0,0,3,1,48
יסוד המעלה,29,1087,800,3,797,163,3,0,0,0,0,2,17,0,3,67,0,20,134,38,0,0,15,0,0,0,206,1,0,0,0,1,13,98,0,0,4,1,11
יסודות,440,294,274,0,274,0,246,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4
יסעור,575,389,280,0,280,83,0,0,0,1,0,1,6,0,0,7,0,3,20,85,0,0,0,0,0,0,40,0,0,0,0,0,3,26,0,0,3,0,2
יעד,1138,451,359,0,359,141,1,0,0,0,0,9,6,0,0,7,0,3,12,82,0,1,0,0,0,0,65,0,0,0,0,0,3,24,0,1,4,0,0
יעף,1044,125,112,0,112,30,0,0,0,0,0,0,4,0,0,9,0,1,20,7,0,0,2,0,0,0,28,0,0,0,1,0,4,3,0,0,3,0,0
יערה,795,451,333,5,328,21,3,1,0,0,0,0,1,0,0,36,0,2,67,10,0,0,4,0,1,0,22,1,0,0,0,0,0,10,0,0,1,0,148
יפיע,499,10933,6078,82,5996,278,13,1852,0,2,2,2286,1,0,0,4,0,105,275,107,0,0,4,1,884,2,4,1,0,0,0,4,17,84,4,11,7,2,46
יפית,3566,128,65,0,65,4,0,0,0,0,0,0,0,0,1,5,0,1,27,3,0,0,5,0,0,0,7,0,0,0,0,0,2,5,0,0,2,0,3
יפעת,134,680,512,1,511,266,1,0,0,0,0,0,11,0,3,7,0,6,25,46,0,0,2,0,0,1,88,0,0,0,0,0,5,36,0,1,8,1,4
יפתח,453,531,326,5,321,160,0,1,0,0,0,1,8,0,0,5,0,7,16,39,0,0,0,1,0,1,49,0,0,0,0,0,1,27,0,0,4,1,0
יצהר,3749,500,391,1,390,0,8,0,0,0,0,0,0,0,0,65,0,0,21,0,0,0,279,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13
יציץ,759,498,322,3,319,27,4,0,0,0,0,1,1,0,0,50,0,7,137,4,0,0,5,0,0,0,30,1,0,0,1,0,2,5,1,0,4,0,39
יקום,417,505,410,2,408,146,0,0,0,0,0,2,7,0,0,6,0,0,5,166,0,0,0,0,0,0,46,2,0,0,1,0,0,17,2,0,7,1,0
יקיר,3647,873,770,2,768,5,6,0,0,0,0,0,1,0,0,527,0,0,106,0,0,0,83,0,0,1,7,7,0,0,0,0,6,1,0,0,6,0,12
יקנעם (מושבה),241,952,743,4,739,237,0,0,0,0,0,0,9,0,0,39,0,17,48,87,0,0,1,0,0,0,209,0,0,0,0,0,11,63,0,1,8,2,7
